pH,conductivity,turbidity,turbidity_raw,temperature,time
7.66,84.5,0,877,12.94,2025-12-04T18:05:21
7.67,84.5,0,877,12.94,2025-12-04T18:05:31
7.66,84.5,0,877,12.94,2025-12-04T18:05:41
7.68,84.64,0,877,12.88,2025-12-04T18:05:52
7.67,84.64,0,877,12.88,2025-12-04T18:06:02
7.67,84.64,0,877,12.88,2025-12-04T18:06:12
7.67,84.64,0,876,12.88,2025-12-04T18:06:22
7.67,84.5,0,876,12.94,2025-12-04T18:06:33
7.66,84.5,0,877,12.94,2025-12-04T18:06:43
7.67,84.5,0,877,12.94,2025-12-04T18:06:53
7.67,84.5,0,877,12.94,2025-12-04T18:07:03
7.67,84.64,0,877,12.88,2025-12-04T18:07:13
7.66,84.64,0,876,12.88,2025-12-04T18:07:24
7.68,84.5,0,877,12.94,2025-12-04T18:07:34
7.66,84.64,0,877,12.88,2025-12-04T18:07:44
7.66,84.5,0,877,12.94,2025-12-04T18:07:54
7.67,84.5,0,876,12.94,2025-12-04T18:08:05
7.66,84.64,0,877,12.88,2025-12-04T18:08:15
7.66,84.5,0,877,12.94,2025-12-04T18:08:25
7.67,84.5,0,877,12.94,2025-12-04T18:08:35
7.66,84.5,0,877,12.94,2025-12-04T18:08:45
7.66,84.5,0,877,12.94,2025-12-04T18:08:56
7.66,84.64,0,877,12.88,2025-12-04T18:09:06
7.67,84.5,0,877,12.94,2025-12-04T18:09:16
7.67,84.64,0,877,12.88,2025-12-04T18:09:26
7.67,84.64,0,877,12.88,2025-12-04T18:09:37
7.67,84.5,0,877,12.94,2025-12-04T18:09:47
7.67,84.5,0,877,12.94,2025-12-04T18:09:57
7.66,84.5,0,877,12.94,2025-12-04T18:10:07
7.66,84.64,0,877,12.88,2025-12-04T18:10:17
7.66,84.5,0,877,12.94,2025-12-04T18:10:28
7.67,84.64,0,877,12.88,2025-12-04T18:10:38
7.66,84.5,0,877,12.94,2025-12-04T18:10:48
7.67,84.64,0,877,12.88,2025-12-04T18:10:58
7.67,84.5,0,877,12.94,2025-12-04T18:11:09
7.66,84.64,0,877,12.88,2025-12-04T18:11:19
7.67,84.5,0,877,12.94,2025-12-04T18:11:29
7.67,84.64,0,876,12.88,2025-12-04T18:11:39
7.67,84.64,0,876,12.88,2025-12-04T18:11:49
7.67,84.5,0,877,12.94,2025-12-04T18:12:00
7.67,84.64,0,877,12.88,2025-12-04T18:12:10
7.66,84.5,0,877,12.94,2025-12-04T18:12:20
7.66,84.5,0,877,12.94,2025-12-04T18:12:30
7.67,84.5,0,877,12.94,2025-12-04T18:12:41
7.67,84.64,0,877,12.88,2025-12-04T18:12:51
7.66,84.5,0,877,12.94,2025-12-04T18:13:01
7.65,84.64,0,877,12.88,2025-12-04T18:13:11
7.66,84.5,0,877,12.94,2025-12-04T18:13:21
7.67,84.64,0,877,12.88,2025-12-04T18:13:32
7.67,84.5,0,877,12.94,2025-12-04T18:13:42
7.66,84.5,0,876,12.94,2025-12-04T18:13:52
7.66,84.64,0,877,12.88,2025-12-04T18:14:02
7.67,84.5,0,877,12.94,2025-12-04T18:14:13
7.66,84.5,0,876,12.94,2025-12-04T18:14:23
7.66,84.5,0,877,12.94,2025-12-04T18:14:33
7.67,84.64,0,877,12.88,2025-12-04T18:14:43
7.66,84.5,0,877,12.94,2025-12-04T18:14:53
7.67,84.5,0,876,12.94,2025-12-04T18:15:04
7.66,84.64,0,876,12.88,2025-12-04T18:15:14
7.67,84.64,0,877,12.88,2025-12-04T18:15:24
7.66,84.5,0,877,12.94,2025-12-04T18:15:34
7.67,84.5,0,877,12.94,2025-12-04T18:15:45
7.67,84.5,0,877,12.94,2025-12-04T18:15:55
7.66,84.5,0,877,12.94,2025-12-04T18:16:05
7.66,84.5,0,877,12.94,2025-12-04T18:16:15
7.65,84.5,0,877,12.94,2025-12-04T18:16:25
7.66,84.5,0,877,12.94,2025-12-04T18:16:36
7.66,84.5,0,877,12.94,2025-12-04T18:16:46
7.67,84.64,0,877,12.88,2025-12-04T18:16:56
7.67,84.64,0,877,12.88,2025-12-04T18:17:06
7.66,84.5,0,877,12.94,2025-12-04T18:17:17
7.67,84.64,0,876,12.88,2025-12-04T18:17:27
7.66,84.5,0,877,12.94,2025-12-04T18:17:37
7.67,84.5,0,876,12.94,2025-12-04T18:17:47
7.66,84.5,0,877,12.94,2025-12-04T18:17:57
7.67,84.5,0,877,12.94,2025-12-04T18:18:08
7.66,84.5,0,877,12.94,2025-12-04T18:18:18
7.66,84.5,0,877,12.94,2025-12-04T18:18:28
7.65,84.5,0,877,12.94,2025-12-04T18:18:38
7.65,84.64,0,877,12.88,2025-12-04T18:18:49
7.65,84.5,0,877,12.94,2025-12-04T18:18:59
7.66,84.5,0,877,12.94,2025-12-04T18:19:09
7.67,84.5,0,877,12.94,2025-12-04T18:19:19
7.65,84.5,0,877,12.94,2025-12-04T18:19:29
7.65,84.5,0,877,12.94,2025-12-04T18:19:40
7.67,84.5,0,877,12.94,2025-12-04T18:19:50
7.66,84.5,0,877,12.94,2025-12-04T18:20:00
7.67,84.5,0,876,12.94,2025-12-04T18:20:10
7.66,84.5,0,877,12.94,2025-12-04T18:20:21
7.67,84.5,0,877,12.94,2025-12-04T18:20:31
7.66,84.5,0,877,12.94,2025-12-04T18:20:41
7.66,84.64,0,877,12.88,2025-12-04T18:20:51
7.67,84.5,0,877,12.94,2025-12-04T18:21:02
7.66,84.5,0,877,12.94,2025-12-04T18:21:12
7.66,84.5,0,877,12.94,2025-12-04T18:21:22
7.66,84.64,0,877,12.88,2025-12-04T18:21:32
7.67,84.64,0,877,12.88,2025-12-04T18:21:42
7.66,84.5,0,876,12.94,2025-12-04T18:21:53
7.65,84.5,0,877,12.94,2025-12-04T18:22:03
7.67,84.5,0,877,12.94,2025-12-04T18:22:13
7.66,84.5,0,877,12.94,2025-12-04T18:22:23
7.66,84.5,0,877,12.94,2025-12-04T18:22:34
7.67,84.64,0,877,12.88,2025-12-04T18:22:44
7.65,84.64,0,877,12.88,2025-12-04T18:22:54
7.65,84.5,0,877,12.94,2025-12-04T18:23:04
7.67,84.5,0,877,12.94,2025-12-04T18:23:14
7.66,84.5,0,877,12.94,2025-12-04T18:23:25
7.65,84.5,0,877,12.94,2025-12-04T18:23:35
7.65,84.5,0,877,12.94,2025-12-04T18:23:45
7.65,84.5,0,877,12.94,2025-12-04T18:23:55
7.67,84.64,0,877,12.88,2025-12-04T18:24:06
7.65,84.5,0,877,12.94,2025-12-04T18:24:16
7.67,84.5,0,876,12.94,2025-12-04T18:24:26
7.66,84.5,0,877,12.94,2025-12-04T18:24:36
7.66,84.5,0,877,12.94,2025-12-04T18:24:46
7.66,84.64,0,877,12.88,2025-12-04T18:24:57
7.65,84.5,0,877,12.94,2025-12-04T18:25:07
7.65,84.5,0,877,12.94,2025-12-04T18:25:17
7.66,84.5,0,877,12.94,2025-12-04T18:25:27
7.66,84.5,0,877,12.94,2025-12-04T18:25:38
7.67,84.5,0,877,12.94,2025-12-04T18:25:48
7.66,84.5,0,877,12.94,2025-12-04T18:25:58
7.65,84.5,0,877,12.94,2025-12-04T18:26:08
7.65,84.5,0,877,12.94,2025-12-04T18:26:18
7.65,84.5,0,877,12.94,2025-12-04T18:26:29
7.66,84.64,0,877,12.88,2025-12-04T18:26:39
7.65,84.5,0,875,12.94,2025-12-04T18:26:49
7.65,84.64,0,876,12.88,2025-12-04T18:26:59
7.66,84.5,0,877,12.94,2025-12-04T18:27:10
7.66,84.5,0,877,12.94,2025-12-04T18:27:20
7.66,84.5,0,877,12.94,2025-12-04T18:27:30
7.66,84.5,0,877,12.94,2025-12-04T18:27:40
7.65,84.5,0,877,12.94,2025-12-04T18:27:50
7.66,84.64,0,877,12.88,2025-12-04T18:28:01
7.65,84.5,0,877,12.94,2025-12-04T18:28:11
7.66,84.5,0,877,12.94,2025-12-04T18:28:21
7.65,84.5,0,877,12.94,2025-12-04T18:28:31
7.65,84.64,0,877,12.88,2025-12-04T18:28:42
7.66,84.5,0,877,12.94,2025-12-04T18:28:52
7.65,84.5,0,877,12.94,2025-12-04T18:29:02
7.66,84.5,0,877,12.94,2025-12-04T18:29:12
7.66,84.5,0,877,12.94,2025-12-04T18:29:23
7.66,84.5,0,877,12.94,2025-12-04T18:29:33
7.66,84.5,0,876,12.94,2025-12-04T18:29:43
7.65,84.5,0,876,12.94,2025-12-04T18:29:53
7.65,84.5,0,877,12.94,2025-12-04T18:30:03
7.66,84.5,0,877,12.94,2025-12-04T18:30:14
7.65,84.5,0,877,12.94,2025-12-04T18:30:24
7.66,84.5,0,877,12.94,2025-12-04T18:30:34
7.65,84.5,0,877,12.94,2025-12-04T18:30:44
7.66,84.64,0,877,12.88,2025-12-04T18:30:55
7.66,84.5,0,877,12.94,2025-12-04T18:31:05
7.66,84.5,0,876,12.94,2025-12-04T18:31:15
7.65,84.5,0,877,12.94,2025-12-04T18:31:25
7.65,84.5,0,877,12.94,2025-12-04T18:31:36
7.67,84.5,0,877,12.94,2025-12-04T18:31:46
7.66,84.5,0,877,12.94,2025-12-04T18:31:56
7.64,84.5,0,877,12.94,2025-12-04T18:32:06
7.66,84.5,0,877,12.94,2025-12-04T18:32:16
7.66,84.64,0,876,12.88,2025-12-04T18:32:27
7.66,84.5,0,877,12.94,2025-12-04T18:32:37
7.65,84.5,0,877,12.94,2025-12-04T18:32:47
7.66,84.5,0,877,12.94,2025-12-04T18:32:57
7.65,84.5,0,877,12.94,2025-12-04T18:33:08
7.65,84.5,0,876,12.94,2025-12-04T18:33:18
7.65,84.64,0,876,12.88,2025-12-04T18:33:28
7.65,84.5,0,877,12.94,2025-12-04T18:33:38
7.66,84.5,0,877,12.94,2025-12-04T18:33:48
7.65,84.5,0,877,12.94,2025-12-04T18:33:59
7.66,84.5,0,877,12.94,2025-12-04T18:34:09
7.66,84.5,0,877,12.94,2025-12-04T18:34:19
7.65,84.5,0,877,12.94,2025-12-04T18:34:29
7.66,84.5,0,877,12.94,2025-12-04T18:34:40
7.66,84.64,0,877,12.88,2025-12-04T18:34:50
7.66,84.5,0,877,12.94,2025-12-04T18:35:00
7.64,84.5,0,877,12.94,2025-12-04T18:35:10
7.66,84.5,0,877,12.94,2025-12-04T18:35:20
7.65,84.5,0,877,12.94,2025-12-04T18:35:31
7.66,84.5,0,876,12.94,2025-12-04T18:35:41
7.66,84.5,0,877,12.94,2025-12-04T18:35:51
7.66,84.5,0,877,12.94,2025-12-04T18:36:01
7.64,84.5,0,876,12.94,2025-12-04T18:36:12
7.65,84.5,0,877,12.94,2025-12-04T18:36:22
7.66,84.5,0,877,12.94,2025-12-04T18:36:32
7.64,84.5,0,877,12.94,2025-12-04T18:36:42
7.64,84.5,0,877,12.94,2025-12-04T18:36:53
7.65,84.5,0,877,12.94,2025-12-04T18:37:03
7.66,84.5,0,877,12.94,2025-12-04T18:37:13
7.64,84.5,0,877,12.94,2025-12-04T18:37:23
7.64,84.5,0,877,12.94,2025-12-04T18:37:33
7.65,84.5,0,877,12.94,2025-12-04T18:37:44
7.64,84.5,0,876,12.94,2025-12-04T18:37:54
7.64,84.5,0,877,12.94,2025-12-04T18:38:04
7.65,84.5,0,877,12.94,2025-12-04T18:38:14
7.65,84.5,0,877,12.94,2025-12-04T18:38:25
7.65,84.5,0,877,12.94,2025-12-04T18:38:35
7.64,84.5,0,877,12.94,2025-12-04T18:38:45
7.65,84.5,0,877,12.94,2025-12-04T18:38:55
7.65,84.5,0,877,12.94,2025-12-04T18:39:05
7.66,84.5,0,877,12.94,2025-12-04T18:39:16
7.65,84.5,0,877,12.94,2025-12-04T18:39:26
7.64,84.5,0,877,12.94,2025-12-04T18:39:36
7.64,84.5,0,877,12.94,2025-12-04T18:39:46
7.65,84.5,0,876,12.94,2025-12-04T18:39:57
7.64,84.5,0,877,12.94,2025-12-04T18:40:07
7.65,84.5,0,877,12.94,2025-12-04T18:40:17
7.65,84.5,0,877,12.94,2025-12-04T18:40:27
7.64,84.5,0,877,12.94,2025-12-04T18:40:37
7.65,84.5,0,877,12.94,2025-12-04T18:40:48
7.64,84.5,0,876,12.94,2025-12-04T18:40:58
7.65,84.5,0,876,12.94,2025-12-04T18:41:08
7.65,84.5,0,877,12.94,2025-12-04T18:41:18
7.65,84.64,0,877,12.88,2025-12-04T18:41:29
7.66,84.5,0,877,12.94,2025-12-04T18:41:39
7.65,84.5,0,877,12.94,2025-12-04T18:41:49
7.64,84.5,0,877,12.94,2025-12-04T18:41:59
